Tm,Batter,vs,Pitcher,RC,PA,AB,H,HR,XB,BB,K,AVG
PIT,Bryan Reynolds,-6,Rodriguez,-6,0,0,0,0,0,0,0,0
HOU,Grae Kessinger,-7,Bradford,18,0,0,0,0,0,0,0,0
TEX,Andrew Knizner,-7,Brown,-13,0,0,0,0,0,0,0,0
BOS,Ceddanne Rafaela,-7,Canning,-19,0,0,0,0,0,0,0,0
BOS,Trevor Story,-7,Canning,-20,0,0,0,0,0,0,0,0
SF,Patrick Bailey,-7,Cease,-22,0,0,0,0,0,0,0,0
LAA,Matt Thaiss,-7,Crawford,-26,1,1,0,0,0,0,1,0
LAA,Miguel Sano,-7,Crawford,-27,1,1,0,0,0,0,0,0.016
LAA,Zach Neto,-7,Crawford,-28,4,4,0.1,0,0,0,0,0.026
BOS,Luis Urias,-7,Gilbert,-27,0,0,0,0,0,0,0,0
MIL,Rhys Hoskins,-7,Gilbert,-18,2,2,1,1,0,0,1,0.5
MIL,Sal Frelick,-7,Gilbert,-22,0,0,0,0,0,0,0,0
NYM,Francisco Alvarez,-7,Greene,-19,2,1,0,0,0,1,0,0.044
NYM,Joey Wendle,-7,Greene,-4,7,7,2.4,0,0.2,0,1,0.337
ATL,Adam Duvall,-7,Henry,4,0,0,0,0,0,0,0,0
BAL,Anthony Santander,-7,Jones,-5,0,0,0,0,0,0,0,0
WAS,Nick Senzel,-7,Nola,-23,7,6,2.8,0,0.9,1,1,0.461
BOS,Luis Urias,-7,Peralta,-30,0,0,0,0,0,0,0,0
SEA,Mitch Haniger,-7,Peralta,-25,2,2,1.5,0.5,0.9,0,0,0.769
CIN,Bubba Thompson,-7,Quintana,21,0,0,0,0,0,0,0,0
PIT,Henry Davis,-7,Rodriguez,-2,0,0,0,0,0,0,0,0
CHW,Dominic Fletcher,-7,Singer,-7,0,0,0,0,0,0,0,0
CHW,Paul DeJong,-7,Singer,0,0,0,0,0,0,0,0,0
OAK,Nick Allen,-7,Skubal,-24,5,5,1.2,0,0.1,0,2,0.237
ARI,Jace Peterson,-7,Strider,-11,1,1,0.6,0,0,0,0,0.625
BOS,Connor Wong,-8,Canning,-20,0,0,0,0,0,0,0,0
SF,Mike Yastrzemski,-8,Cease,-32,5,4,0.6,0,0,1,2,0.149
LAA,Mickey Moniak,-8,Crawford,-29,1,1,1,1,0,0,0,1
MIL,Jake Bauers,-8,Gilbert,-24,4,4,0.8,0,0.2,0,1,0.2
BAL,Cedric Mullins,-8,Jones,-7,0,0,0,0,0,0,0,0
BAL,Colton Cowser,-8,Jones,6,0,0,0,0,0,0,0,0
BAL,Jorge Mateo,-8,Jones,-5,0,0,0,0,0,0,0,0
BAL,Ramon Urias,-8,Jones,2,0,0,0,0,0,0,0,0
NYY,Jahmai Jones,-8,Kikuchi,-33,0,0,0,0,0,0,0,0
COL,Alan Trejo,-8,Littell,-10,0,0,0,0,0,0,0,0
COL,Jacob Stallings,-8,Littell,-13,2,2,0.2,0,0,0,0,0.084
COL,Jake Cave,-8,Littell,-9,0,0,0,0,0,0,0,0
