Tm,Batter,vs,Pitcher,PA,AB,H,HR,XB,BB,K,AVG
ARI,Geraldo Perdomo,-1,Rodon,12,11,1,0,0,1,3,0.091
CHC,Pete Crow-Armstrong,-6,Springs,0,0,0,0,0,0,0,0
SF,Sam Huff,-9,Valdez,5,4,1,0,0,1,2,0.25
STL,Willson Contreras,-8,Kikuchi,0,0,0,0,0,0,0,0
SEA,Cal Raleigh,-5,Skubal,3,3,1,1,0,0,0,0.333
MIL,Isaac Collins,-10,Ragans,0,0,0,0,0,0,0,0
STL,Jordan Walker,-8,Kikuchi,0,0,0,0,0,0,0,0
CLE,Jose Ramirez,3,Cease,18,18,3,0,1,0,2,0.167
ARI,Josh Naylor,-2,Rodon,7,7,1,0,0,0,3,0.143
SEA,Mitch Garver,-8,Skubal,5,4,1,0,1,1,2,0.25
BAL,Ryan Mountcastle,-5,Crochet,3,3,1,0,1,0,1,0.333
BAL,Jordan Westburg,-4,Crochet,3,3,1,0,0,0,2,0.333
SEA,Julio Rodriguez,-6,Skubal,3,3,1,0,1,0,0,0.333
MIA,Kyle Stowers,-9,Holmes,2,1,1,0,0,1,0,1
CLE,Lane Thomas,-5,Cease,6,2,0,0,0,4,1,0
STL,Ivan Herrera,-6,Kikuchi,0,0,0,0,0,0,0,0
TB,Jonathan Aranda,-6,Skenes,0,0,0,0,0,0,0,0
MIA,Liam Hicks,-10,Holmes,0,0,0,0,0,0,0,0
MIL,Vinny Capra,-10,Ragans,0,0,0,0,0,0,0,0
COL,Ezequiel Tovar,-8,Wheeler,2,2,1,0,0,0,1,0.5
MIA,Graham Pauley,-10,Holmes,0,0,0,0,0,0,0,0
COL,Hunter Goodman,-9,Wheeler,0,0,0,0,0,0,0,0
LAA,Jo Adell,-7,Gray,6,6,1,1,0,0,1,0.167
SEA,Randy Arozarena,-6,Skubal,12,10,2,0,0,2,4,0.2
CLE,Brayan Rocchio,-7,Cease,3,3,1,0,0,0,0,0.333
CLE,Carlos Santana,1,Cease,6,5,0,0,0,1,1,0
SEA,Dylan Moore,-8,Skubal,5,5,0,0,0,0,1,0
ARI,Jake McCarthy,-4,Rodon,3,3,0,0,0,0,0,0
STL,Lars Nootbaar,-4,Kikuchi,0,0,0,0,0,0,0,0
COL,Ryan McMahon,-9,Wheeler,5,4,1,0,0,1,2,0.25
NYY,Anthony Volpe,-1,Gallen,5,5,1,0,0,0,2,0.2
TB,Jose Caballero,-8,Skenes,0,0,0,0,0,0,0,0
COL,Kris Bryant,-10,Wheeler,0,0,0,0,0,0,0,0
CLE,Kyle Manzardo,-6,Cease,0,0,0,0,0,0,0,0
MIA,Matt Mervis,-9,Holmes,0,0,0,0,0,0,0,0
COL,Nick Martini,-8,Wheeler,4,4,0,0,0,0,1,0
SEA,Victor Robles,-7,Skubal,6,6,0,0,0,0,4,0
NYY,Austin Wells,-3,Gallen,3,3,0,0,0,0,0,0
MIA,Derek Hill,-9,Holmes,0,0,0,0,0,0,0,0
