Tm,Batter,vs,Pitcher,RC,BB,K,HR,XB,1B,BB,K
PIT,Tommy Pham,-5,Burns,5,14,53,1.5,4.8,14.1,12.1,34.9
DET,Wenceel Perez,3,Hendricks,5,-43,-33,2.9,5.8,15.3,4.7,15.7
BAL,Adley Rutschman,8,Ginn,4,8,-1,2.5,4.9,16.1,14,16.9
CHW,Brooks Baldwin,-5,Bibee,4,-29,10,4.3,3.9,14.2,5.3,33.2
TB,Christopher Morel,-5,Castillo,4,-10,0,3.3,4.2,12.5,7.1,36.9
PIT,Jack Suwinski,-9,Burns,4,6,42,2.3,3.6,9.1,13.2,47.6
ATL,Marcell Ozuna,5,Cabrera,4,14,3,2.7,3.4,11.8,17.6,25.8
CHW,Michael A. Taylor,-4,Bibee,4,-8,2,3.4,4.5,13,8.6,32.5
TOR,Bo Bichette,9,Kershaw,3,-20,-22,3.6,6.5,19.2,4.7,12.8
CLE,Daniel Schneemann,-2,Civale,3,-11,-6,3.7,4.4,11.6,9.9,25.1
MIN,Edouard Julien,3,Lugo,3,10,12,3.8,4.9,13.9,13.7,33.7
CHC,Ian Happ,10,McGreevy,3,-17,-33,3.1,6.9,16.7,10.8,15.1
MIL,Joey Ortiz,5,Senga,3,79,31,3.7,5.1,13.4,11.2,22.7
BAL,Jordan Westburg,4,Ginn,3,7,-7,3,4.9,17.6,7.3,21.5
SF,Rafael Devers,6,Irvin,3,-8,-21,2.5,5.3,12.8,12.9,23.7
BAL,Ryan Noda,0,Ginn,3,24,-10,2.9,3.9,10.4,17.5,33.4
CHC,Seiya Suzuki,9,McGreevy,3,-30,-31,3.4,6.1,15,9.4,19.3
CHW,Andrew Benintendi,2,Bibee,2,-11,0,3.7,5.1,13.6,8.5,19.8
WAS,Brady House,-5,Gage,2,12,-4,1.8,3.9,16.5,6.2,26
MIN,Brooks Lee,-2,Lugo,2,12,16,2.3,5.6,16.1,7.8,23.5
TOR,Davis Schneider,3,Kershaw,2,-16,-21,3.9,5.2,13.2,8.9,26
BAL,Dylan Carlson,-1,Ginn,2,16,-10,2.5,3.8,15.1,11.2,23.4
ARI,Geraldo Perdomo,10,Gomber,2,-45,-38,2.9,7.4,16.8,7.2,8.5
WAS,James Wood,8,Gage,2,-8,-8,3.7,4.6,14.4,12.5,27.3
PIT,Liover Peguero,-10,Burns,2,3,43,1.4,3.6,12.7,7.4,45.4
SF,Wilmer Flores,5,Irvin,2,-16,-34,2.8,4.6,15.9,7.2,12.6
DET,Dillon Dingler,2,Hendricks,1,-42,-42,2.5,6.3,15.2,4,13.4
CHW,Luis Robert,0,Bibee,1,-14,5,3.4,5.7,14.3,7.7,28.4
BAL,Coby Mayo,-5,Ginn,0,13,-5,1.8,5,14.4,7.7,24.5
WAS,Daylen Lile,5,Gage,0,2,-3,1.7,5.2,18.2,8,19.7
PHI,J.T. Realmuto,3,Kelly,0,-8,-12,2,5.8,16.2,6.9,21.5
ATL,Matt Olson,3,Cabrera,0,17,6,3.2,3.2,12.2,15.5,27.3
PHI,Nick Castellanos,5,Kelly,0,-15,-12,3.1,6.8,16,4.5,21.3
MIN,Royce Lewis,5,Lugo,0,19,3,4,5.5,13.6,9.2,20.8
CLE,C.J. Kayfus,-9,Civale,-1,-16,-1,2.9,3.2,11,5,30.7
TB,Chandler Simpson,1,Castillo,-1,-14,-1,1.8,4.5,18,5.6,12.4
WAS,Nathaniel Lowe,5,Gage,-1,31,-2,1.7,3.9,14.1,16.3,24.7
BAL,Ryan Mountcastle,0,Ginn,-1,-1,-10,2.2,5.6,18.6,4.9,22.2
CLE,Steven Kwan,5,Civale,-1,-7,-7,2.6,5.1,16.2,8.6,10.2
TOR,Ty France,7,Kershaw,-1,-34,-22,3.1,6,18.9,4.9,14.3
MIN,Ryan Jeffers,1,Lugo,-2,14,9,3.4,4.8,12.9,10.3,23.6
DET,Spencer Torkelson,3,Hendricks,-2,-51,-28,3.6,6,13.8,5.6,20
TOR,Alejandro Kirk,9,Kershaw,-3,-38,-19,3.3,6.3,19.5,4.7,10.6
PHI,Bryce Harper,9,Kelly,-3,-9,-4,4,7.3,13.2,9.6,22.7
WAS,Jacob Young,2,Gage,-3,10,-5,0.9,3.7,19.5,8.7,15.9
PHI,Trea Turner,5,Kelly,-3,-8,-5,2.7,6.3,15.5,6.1,18.9
PHI,Brandon Marsh,4,Kelly,-4,-7,-6,2.9,6.1,13,8.7,24.8
CHC,Carson Kelly,9,McGreevy,-4,-25,-31,2.4,5.8,18.4,7.1,12.6
PIT,Henry Davis,-9,Burns,-4,2,45,1.9,4.2,10.4,9.4,45.2
MIN,Luke Keaschall,-4,Lugo,-4,-5,12,3.4,4.8,12,8.4,25.1
KC,Maikel Garcia,6,Ryan,-4,-32,23,2.5,6.5,19.5,6.8,17.1
PHI,Otto Kemp,-7,Kelly,-4,-9,6,3.2,3.9,12.7,5.9,33.8
TB,Yandy Diaz,7,Castillo,-4,-9,-4,2.4,4.4,17.9,8.8,15.8
TB,Jake Mangum,-3,Castillo,-5,-19,-10,1.4,4.2,17.4,3.6,17.7
SF,Jung Hoo Lee,4,Irvin,-5,-9,-34,1,4.9,18,7.5,7.9
CHC,Nico Hoerner,8,McGreevy,-5,-28,-37,1.3,5.6,21.5,3.8,7.1
DET,Zach McKinstry,4,Hendricks,-5,-51,-37,2.3,5.8,16.8,5.1,12.9
WAS,C.J. Abrams,4,Gage,-6,-8,-6,1.7,5.2,17,7.8,18.6
DET,Colt Keith,2,Hendricks,-6,-51,-39,2.3,5.6,16,4.4,13.3
TB,Josh Lowe,1,Castillo,-6,-14,4,2.2,3.9,17,7.4,26.1
LAD,Mookie Betts,7,Scherzer,-6,-19,1,3.8,6.8,11.9,9.3,14.1
TB,Nick Fortes,3,Castillo,-6,-23,0,2.4,4.8,17.4,5,16
PIT,Bryan Reynolds,-8,Burns,-7,0,62,2.3,4.5,13,8.5,43.7
WAS,Luis Garcia,3,Gage,-7,-1,-1,1.7,4.7,18.9,5.4,18.1
MIN,Mickey Gasper,-8,Lugo,-7,13,8,1.5,5.1,10.1,9.9,32.8
ATL,Ozzie Albies,-4,Cabrera,-7,21,13,2.2,3.7,13,9.5,23.3
TOR,Vladimir Guerrero Jr.,10,Kershaw,-7,-42,-19,3.3,7,18.6,7.3,11.5
MIN,Alan Roden,-7,Lugo,-8,14,11,1.9,5.2,12.6,8.5,29.6
