Game,Team,Batter,Bats,Pitcher,Throws,Starter,RC,HR Boost,XB Boost,1B Boost,BB Boost,K Boost,HR Prob,XB Prob,1B Prob,BB Prob,K Prob,RC (no park),HR Boost (no park),XB Boost (no park),1B Boost (no park),BB Boost (no park),K Boost (no park),HR Prob (no park),XB Prob (no park),1B Prob (no park),BB Prob (no park),K Prob (no park),vs Grade,PA,AB,H,HR (hist),XBH (hist),BB (hist),K (hist),AVG
Braves @ Nationals,ATL,Kyle Farmer,R,Irvin,R,0,4,-50,2,16,-18,-12,1.4,5.5,17.3,6.3,20.7,27,4,23,23,-14,-10,2.8,6.7,18.4,6.6,21.1,8,3,3,0,0,0,0,1,.000                         
Braves @ Nationals,ATL,Mike Yastrzemski,L,Irvin,R,1,-3,-39,6,12,-30,-7,2,5.8,15.2,9.7,16.9,17,28,21,13,-27,-5,4.1,6.6,15.4,10.2,17.2,10,12,9,1,1,0,3,1,.111                         
Braves @ Nationals,ATL,Matt Olson,L,Irvin,R,1,8,-27,20,3,-10,-12,2.7,5.3,13.1,12,23.8,29,26,36,5,-6,-10,4.7,5.9,13.2,12.6,24.3,10,17,16,3,1,0,1,5,.188                         
Braves @ Nationals,ATL,Jorge Mateo,R,Irvin,R,0,13,-50,25,8,-21,-10,0.9,6.3,15.9,5.9,25.4,34,8,46,15,-17,-9,1.9,7.4,17,6.2,25.9,3,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,ATL,Jonah Heim,S,Irvin,R,0,6,-47,17,3,-15,-11,1.1,6.1,15.7,8.1,18.9,26,22,37,7,-11,-9,2.5,7.2,16.3,8.5,19.3,8,2,2,1,0,0,0,0,.500                         
Braves @ Nationals,ATL,Dominic Smith,L,Irvin,R,1,13,-48,29,18,-23,-18,1.3,6.9,18.5,6.2,18.1,36,15,53,20,-19,-17,3,8.1,18.9,6.5,18.5,10,6,6,2,0,0,0,2,.333                         
Braves @ Nationals,ATL,Eli White,R,Irvin,R,0,17,-33,20,13,-15,-14,1.8,5.6,15,6,27.2,44,24,43,20,-11,-12,3.3,6.7,16,6.3,27.7,5,6,6,0,0,0,0,2,.000                         
Braves @ Nationals,ATL,Mauricio Dubon,R,Irvin,R,1,5,-42,-6,12,-18,-8,0.9,4.7,21,5.1,11.9,24,29,13,19,-14,-7,1.9,5.6,22.3,5.4,12.2,8,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,ATL,Ozzie Albies,S,Irvin,R,1,4,-45,10,12,-22,-14,1.5,6.3,19.6,6.3,12.5,24,17,29,16,-19,-13,3.2,7.4,20.2,6.6,12.7,10,13,11,2,0,1,2,0,.182                         
Braves @ Nationals,ATL,Ronald Acuna Jr.,R,Irvin,R,1,4,-23,17,4,-26,-16,2.4,5.2,13.9,11.5,21.9,19,16,32,9,-22,-14,3.5,5.9,14.6,12.1,22.4,9,5,5,3,0,1,0,0,.600                         
Braves @ Nationals,WAS,Keibert Ruiz,S,Elder,R,1,-11,-59,-26,2,-34,-1,0.6,3.7,19.2,3.4,11.4,1,-4,-13,5,-31,1,1.5,4.3,19.8,3.6,11.6,-1,3,3,2,0,0,0,0,.667                         
Braves @ Nationals,ATL,Austin Riley,R,Irvin,R,1,4,-40,31,-7,-16,-1,1.9,7.1,12.2,7.6,30.4,23,-3,49,-1,-12,1,3.2,8.1,12.9,8,31,4,11,9,3,0,0,2,3,.333                         
Braves @ Nationals,WAS,Luis Garcia,L,Elder,R,1,-14,-59,-14,1,-32,-6,1.2,5.1,17.3,3.8,17.8,5,-13,4,5,-29,-4,2.7,6.2,18,4,18.1,4,6,6,2,0,1,0,1,.333                         
Braves @ Nationals,ATL,Michael Harris II,L,Irvin,R,1,10,-41,28,7,-15,-19,1.9,7.1,18.1,4.6,16.9,29,6,47,10,-10,-17,3.4,8.1,18.6,4.8,17.2,10,20,18,7,0,2,2,3,.389                         
Braves @ Nationals,WAS,Jose Tena,L,Elder,R,1,-16,-70,-29,0,-35,-3,0.4,3.5,14.8,6.1,24.6,1,-14,-7,4,-32,-2,1.3,4.5,15.3,6.4,25.1,-6,2,2,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,Jorbit Vivas,L,Elder,R,0,-19,-66,-30,-6,-30,4,0.6,3.2,14,5.3,22.8,-7,-27,-16,-4,-27,6,1.2,3.8,14.3,5.6,23.2,-8,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,Curtis Mead,R,Elder,R,0,-16,-59,-26,0,-38,1,0.7,3.9,13.8,4,26.5,-1,-12,-15,5,-35,3,1.5,4.5,14.6,4.2,27,-8,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,C.J. Abrams,L,Elder,R,1,-15,-55,-25,-6,-15,-3,1.2,4,13.5,6.9,24.1,2,-10,-13,-3,-11,-1,2.5,4.6,13.9,7.2,24.5,-4,8,7,4,0,1,1,0,.571                         
Braves @ Nationals,WAS,Nasim Nunez,S,Elder,R,1,-21,-71,-26,-7,-32,-4,0.6,3.1,12.8,7,23.6,-5,-29,-10,-2,-29,-2,1.4,3.8,13.6,7.4,24.1,-7,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,Drew Millas,S,Elder,R,0,0,-57,-2,7,-32,-5,0.5,4.3,16.6,6.2,22.3,13,-18,15,12,-28,-3,1,5,17.4,6.5,22.7,-3,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,Joey Wiemer,R,Elder,R,0,-15,-57,-20,-5,-24,-3,1.1,3.7,12,6.5,32.2,3,-21,-8,3,-20,-1,2,4.3,12.9,6.8,32.8,-8,2,2,0,0,0,0,0,.000                         
Braves @ Nationals,ATL,Drake Baldwin,L,Irvin,R,1,7,-35,17,18,-26,-12,2,6,18.9,7.3,14.6,26,23,30,20,-23,-11,3.8,6.8,19.4,7.6,14.8,10,3,3,0,0,0,0,1,.000                         
Braves @ Nationals,WAS,Brady House,R,Elder,R,1,-16,-43,-29,-9,-32,-1,1,3.1,12.6,5.3,30.9,-4,-19,-16,-4,-29,1,1.4,3.7,13.4,5.5,31.5,-9,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,James Wood,L,Elder,R,1,-8,-48,-30,7,-17,-6,1.5,3.3,14,9.9,31.8,5,-18,-16,7,-13,-4,2.4,4,14.1,10.4,32.4,-4,6,6,2,1,0,0,1,.333                         
Braves @ Nationals,WAS,Daylen Lile,L,Elder,R,1,-15,-62,-20,-3,-26,-5,0.9,4.2,15.9,5.6,17.1,0,-10,-4,-3,-23,-3,2.2,5,15.9,5.9,17.4,-1,3,3,2,0,0,0,1,.667                         
Braves @ Nationals,WAS,Jacob Young,R,Elder,R,1,-10,-71,-17,4,-28,6,0.5,4.3,17.4,6,20.8,6,-22,-1,11,-25,8,1.3,5.1,18.7,6.3,21.1,-1,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Eugenio Suarez,R,Scholtens,R,1,-14,-4,5,-6,13,11,4,4.9,9.9,11.3,39.7,-11,-6,7,-5,14,-1,3.9,5,10,11.4,35.5,-2,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Jake Fraley,L,Lowder,R,1,-15,-16,3,-4,11,1,1.7,5.3,14,10.5,23,-13,-16,3,-2,12,-9,1.7,5.3,14.2,10.5,20.5,2,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Yandy Diaz,R,Lowder,R,1,-16,-28,-6,1,17,6,1.6,5,18.1,13.5,15.6,-14,-28,-4,2,18,-5,1.6,5.1,18.2,13.6,13.9,9,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Cedric Mullins,L,Lowder,R,1,-14,-22,2,-8,18,-2,1.6,4.7,11,14,26.7,-11,-19,0,-7,19,-12,1.6,4.6,11.1,14.1,23.9,-2,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Ke'Bryan Hayes,R,Scholtens,R,1,-5,4,3,14,11,-2,1.4,5.4,18.9,10.6,18.2,-2,7,5,15,12,-12,1.5,5.5,19,10.7,16.3,8,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Nick Fortes,R,Lowder,R,1,-13,-24,10,1,10,-3,1.4,5.4,16.4,7.5,18.7,-12,-27,7,2,11,-13,1.4,5.3,16.6,7.6,16.7,1,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Tyler Stephenson,R,Scholtens,R,1,-17,7,-14,-9,23,15,3.2,4.3,11.1,11.9,40.3,-12,11,-13,-7,24,3,3.3,4.3,11.3,12,36,-3,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Nathaniel Lowe,L,Scholtens,R,0,0,-9,17,3,40,-4,2.4,6,14.4,18.8,22.4,2,-14,20,3,41,-14,2.3,6.1,14.5,18.9,20.1,10,3,3,1,0,0,0,1,.333                         
Reds @ Rays,CIN,P.J. Higgins,R,Scholtens,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Jonathan Aranda,L,Lowder,R,1,-13,-27,4,-5,30,-5,2.5,4.9,12.9,15.7,26.2,-10,-27,3,-3,31,-15,2.5,4.9,13.3,15.8,23.4,7,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Will Benson,L,Scholtens,R,0,-8,9,0,3,13,5,3.9,4.9,12.3,11.7,32.6,-4,7,5,5,14,-6,3.8,5.1,12.6,11.8,29.1,5,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Dane Myers,R,Scholtens,R,0,-13,-10,15,2,11,24,1.8,6,15.2,8.7,32.4,-9,-7,15,5,12,11,1.8,5.9,15.6,8.7,29,-1,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Spencer Steer,R,Scholtens,R,1,-9,4,10,1,6,5,3.3,5.5,14.3,10.1,26.5,-8,0,11,3,7,-6,3.2,5.5,14.6,10.1,23.7,5,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Ryan Vilade,R,Lowder,R,0,-12,2,-6,-1,12,-4,2,4.1,12.8,7.6,31.1,-10,-1,-6,-1,13,-14,2,4.1,12.9,7.7,27.8,-7,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Taylor Walls,S,Lowder,R,1,-15,-24,4,-3,14,1,1.4,4.8,14.7,11.1,24.4,-11,-21,6,-1,14,-9,1.5,4.9,15,11.1,21.8,1,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,TJ Friedl,L,Scholtens,R,1,-8,-4,-1,2,26,8,1.7,4.5,14.8,16.5,23.2,-5,1,-4,4,27,-3,1.8,4.4,15.1,16.6,20.8,7,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Jonny DeLuca,R,Lowder,R,0,-8,-18,13,2,14,-10,1.5,6,16.4,6.8,19.7,-7,-29,13,5,14,-20,1.3,6,16.8,6.8,17.6,1,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Hunter Feduccia,L,Lowder,R,0,-9,0,-11,1,20,-8,1.7,3.8,13.3,12.8,25.8,-6,-5,-8,3,21,-18,1.6,3.9,13.6,12.9,23.1,-2,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Rece Hinds,R,Scholtens,R,1,3,35,9,7,13,8,4,4.9,12.1,7,39.9,7,33,11,8,14,-3,3.9,5,12.3,7.1,35.6,-4,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Matt McLain,R,Scholtens,R,1,-8,5,1,2,22,8,2.7,4.9,13.2,13.1,32.9,-3,6,5,4,23,-4,2.8,5,13.5,13.2,29.4,4,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Richie Palacios,L,Lowder,R,1,-16,-22,0,-5,11,-3,1.6,4.4,14.2,14,20.6,-14,-21,0,-4,12,-14,1.6,4.4,14.3,14.1,18.4,4,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Elly De La Cruz,S,Scholtens,R,1,-5,28,3,2,20,10,2.6,5.3,14.1,10.9,30.8,-2,22,6,3,20,-2,2.5,5.5,14.2,11,27.6,3,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Junior Caminero,R,Lowder,R,1,-15,-24,-8,7,20,-2,2.8,5.2,17.1,10.8,18.6,-14,-27,-5,7,20,-13,2.7,5.4,17.2,10.9,16.6,9,0,0,0,0,0,0,0,.000                         
Reds @ Rays,CIN,Sal Stewart,R,Scholtens,R,1,-7,14,-2,-3,24,6,3.7,4.2,13.8,13.5,26.5,-5,12,0,-2,24,-5,3.7,4.2,13.9,13.6,23.7,7,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Chandler Simpson,L,Lowder,R,1,-11,-48,-2,10,17,5,0.5,4.9,21.9,6.9,10.3,-10,-25,-4,9,18,-6,0.7,4.8,21.7,7,9.2,5,0,0,0,0,0,0,0,.000                         
Reds @ Rays,TB ,Ben Williamson,R,Lowder,R,0,-13,-33,1,5,16,9,0.8,4.9,18.4,9.3,22,-11,-21,-2,5,16,-2,1,4.8,18.3,9.4,19.7,2,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,SEA,Rob Refsnyder,R,Ginn,R,0,-6,-16,-15,-15,20,6,2.3,4.8,11.5,15.4,26.6,1,-19,-3,-10,21,-5,2.3,5.5,12.1,15.5,23.7,6,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,ATH,Andy Ibanez,R,Hancock,R,0,-1,-7,-13,1,14,-3,1.9,4.7,17.2,8.4,19.8,6,-11,4,4,15,-13,1.9,5.6,17.8,8.5,17.6,5,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,SEA,J.P. Crawford,L,Ginn,R,1,-5,-16,-3,-9,4,-6,1.9,5.1,15.1,12.8,19.3,2,-20,15,-3,5,-16,1.8,6.1,16.2,12.9,17.1,8,3,3,1,0,0,0,0,.333                         
Athletics @ Mariners,SEA,Mitch Garver,R,Ginn,R,0,-13,-21,-12,-16,-1,11,2.3,4.1,10.4,13.1,31.6,-6,-23,3,-11,0,-1,2.2,4.7,11,13.3,28.1,-2,2,1,0,0,0,1,1,.000                         
Athletics @ Mariners,ATH,Austin Wynns,R,Hancock,R,0,0,-10,-5,-3,9,-12,2.3,4.7,14.5,7.3,23.1,8,-13,9,2,10,-22,2.2,5.4,15.3,7.3,20.5,1,2,2,0,0,0,0,1,.000                         
Athletics @ Mariners,ATH,Jeff McNeil,L,Hancock,R,1,-9,-17,-17,-3,0,-2,2.1,4.7,14.9,10,15.8,-1,-20,-1,5,1,-13,2,5.7,16.1,10.1,14.1,6,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,SEA,Josh Naylor,L,Ginn,R,1,-18,-26,-25,-9,1,10,2.3,4.5,16.7,6.5,18,-11,-31,-10,-2,2,-2,2.1,5.3,18,6.6,16,4,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,SEA,Connor Joe,R,Ginn,R,0,-7,-26,-3,-7,0,12,1.1,4.8,13.3,12,27.1,1,-29,12,-1,1,-1,1.1,5.5,14.1,12.1,24.1,-1,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,SEA,Leo Rivas,S,Ginn,R,0,-5,-24,-8,-21,15,8,1.2,3.5,9.3,14.5,31.6,2,-32,7,-15,16,-4,1.1,4.1,10,14.7,28.1,-6,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,SEA,Cal Raleigh,S,Ginn,R,1,1,-13,10,-6,4,-1,3.5,4.8,10,12.4,33,10,-17,31,3,6,-12,3.4,5.7,11,12.6,29.3,3,3,3,2,0,1,0,0,.667                         
Athletics @ Mariners,ATH,Carlos Cortes,L,Hancock,R,1,-2,-8,-2,-4,-1,-15,2.3,4.6,14.4,9.2,17.6,6,-14,18,4,0,-24,2.1,5.6,15.6,9.3,15.7,5,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,SEA,Randy Arozarena,R,Ginn,R,1,-11,-29,-10,-17,5,6,1.4,4.4,11.3,12.7,29,-4,-32,5,-12,6,-6,1.3,5.1,12,12.8,25.8,-3,3,3,0,0,0,0,3,.000                         
Athletics @ Mariners,ATH,Shea Langeliers,R,Hancock,R,1,5,7,-8,-1,15,-6,4.2,4.9,13.6,9.6,22.2,10,0,7,5,16,-16,3.9,5.7,14.5,9.7,19.7,8,5,4,1,0,0,1,1,.250                         
Athletics @ Mariners,SEA,Luke Raley,L,Ginn,R,1,-2,-3,-19,-12,18,6,3.1,3.6,10.5,10.6,37,6,-9,1,-6,20,-6,2.9,4.4,11.2,10.8,32.9,-4,2,2,0,0,0,0,1,.000                         
Athletics @ Mariners,ATH,Lawrence Butler,L,Hancock,R,1,4,-1,-2,3,2,-7,3.1,4.8,14.4,10.4,26.8,13,-5,19,10,3,-17,2.9,5.8,15.4,10.5,23.8,6,6,6,0,0,0,0,1,.000                         
Athletics @ Mariners,ATH,Denzel Clarke,R,Hancock,R,1,7,-18,19,1,-9,-3,1.4,5,12.5,7.7,32.9,17,-18,36,7,-8,-14,1.4,5.7,13.2,7.8,29.3,-6,0,0,0,0,0,0,0,.000                         
Athletics @ Mariners,SEA,Julio Rodriguez,R,Ginn,R,1,-17,-40,-10,-12,-1,7,1.7,4.6,12.5,7.5,27.4,-10,-43,4,-6,0,-5,1.7,5.3,13.3,7.6,24.3,-5,3,3,1,0,1,0,0,.333                         
Athletics @ Mariners,ATH,Zack Gelof,R,Hancock,R,0,6,-2,-6,-7,13,-4,2.6,5,10.3,9.2,36.6,15,-6,11,-2,14,-15,2.4,5.9,10.8,9.4,32.6,-5,0,0,0,0,0,0,0,.000                         
