Game,Team,Batter,Bats,Pitcher,Throws,Starter,RC,HR Boost,XB Boost,1B Boost,BB Boost,K Boost,HR Prob,XB Prob,1B Prob,BB Prob,K Prob,RC (no park),HR Boost (no park),XB Boost (no park),1B Boost (no park),BB Boost (no park),K Boost (no park),HR Prob (no park),XB Prob (no park),1B Prob (no park),BB Prob (no park),K Prob (no park),vs Grade,PA,AB,H,HR (hist),XBH (hist),BB (hist),K (hist),AVG
Blue Jays @ Angels,TOR,Eloy Jimenez,R,Detmers,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,3,3,0,0,0,0,1,.000                         
Blue Jays @ Angels,LAA,Yoan Moncada,S,Cease,R,1,-14,-1,-38,-10,25,32,3.3,3.1,11.1,14.6,38.5,-12,4,-29,-17,27,26,3.4,3.5,10.3,14.8,36.8,-2,3,3,1,0,0,0,1,.333                         
Blue Jays @ Angels,TOR,Jesus Sanchez,L,Detmers,L,0,-37,-33,-31,-11,-22,66,1.9,3.6,12.8,7.6,41.7,-35,-32,-18,-18,-21,59,1.9,4.3,11.7,7.7,39.8,-9,0,0,0,0,0,0,0,.000                         
Blue Jays @ Angels,TOR,Daulton Varsho,L,Detmers,L,1,-26,-31,-23,-1,-7,38,2.6,4,13.1,8,37.1,-24,-27,-13,-9,-6,32,2.7,4.5,12,8.1,35.4,-7,0,0,0,0,0,0,0,.000                         
Blue Jays @ Angels,TOR,Myles Straw,R,Detmers,L,1,-15,-37,-2,3,-11,27,1.1,5.1,16.3,7,25.3,-8,-7,15,-4,-9,22,1.6,6,15.2,7.1,24.1,-2,4,4,2,0,0,0,0,.500                         
Blue Jays @ Angels,TOR,Nathan Lukes,L,Detmers,L,0,-19,-14,-24,5,-8,67,1.9,4.1,18,6.9,27.6,-17,-9,-9,-2,-7,59,2,4.9,16.8,7,26.4,-2,1,1,0,0,0,0,0,.000                         
Blue Jays @ Angels,TOR,Vladimir Guerrero Jr.,R,Detmers,L,1,-17,-20,-14,3,-4,65,2.2,4.8,18.4,10.1,23.5,-15,-19,1,-3,-3,58,2.3,5.6,17.3,10.3,22.4,6,2,2,0,0,0,0,0,.000                         
Blue Jays @ Angels,TOR,Andres Gimenez,L,Detmers,L,1,-18,-21,-8,2,-22,39,1.6,4.8,17,4.7,29.9,-16,-20,6,-5,-21,32,1.6,5.5,15.9,4.7,28.6,-5,9,9,2,0,0,0,1,.222                         
Blue Jays @ Angels,LAA,Josh Lowe,L,Cease,R,1,-22,13,-41,-8,7,46,2.7,3,12.1,9.5,45.1,-22,10,-32,-16,8,39,2.6,3.4,11,9.6,43.1,-9,6,6,1,0,0,0,1,.167                         
Blue Jays @ Angels,LAA,Jo Adell,R,Cease,R,1,-15,3,-36,-8,25,38,4.2,2.9,12.7,10,36.9,-13,6,-26,-15,26,32,4.3,3.4,11.8,10.2,35.2,-3,4,4,0,0,0,0,2,.000                         
Blue Jays @ Angels,LAA,Bryce Teodosio,R,Cease,R,0,-19,-1,-24,-6,15,44,1.9,3.2,12.4,6.8,46.3,-17,0,-14,-11,17,37,1.9,3.6,11.7,6.9,44.2,-10,0,0,0,0,0,0,0,.000                         
Blue Jays @ Angels,LAA,Oswald Peraza,R,Cease,R,0,-11,15,-32,-8,30,30,2,3,12,10.7,43.3,-8,10,-18,-13,31,24,1.9,3.7,11.3,10.9,41.4,-8,0,0,0,0,0,0,0,.000                         
Blue Jays @ Angels,TOR,Lenyn Sosa,R,Detmers,L,0,-20,-20,-2,-9,-8,37,2.9,5.7,13.8,5.2,34.5,-16,-16,14,-16,-7,31,3,6.6,12.7,5.3,33,-4,4,4,2,1,0,0,0,.500                         
Blue Jays @ Angels,TOR,Kazuma Okamoto,R,Detmers,L,1,-34,-42,-30,-8,-1,35,1.3,2.9,10.5,7.8,52.5,-30,-39,-18,-14,1,29,1.4,3.4,9.8,7.9,50.1,-10,0,0,0,0,0,0,0,.000                         
Blue Jays @ Angels,TOR,Ernie Clement,R,Detmers,L,1,-17,-33,3,0,-25,58,1.4,5.8,18.9,3.8,19,-13,-12,15,-6,-24,50,1.8,6.4,17.7,3.8,18.1,2,2,2,2,0,1,0,0,1.000                         
Blue Jays @ Angels,TOR,Davis Schneider,R,Detmers,L,1,-28,-22,-31,-6,-14,42,2.4,2.9,11.7,12.4,41.7,-27,-20,-20,-12,-13,35,2.4,3.3,10.9,12.5,39.8,-7,0,0,0,0,0,0,0,.000                         
Blue Jays @ Angels,TOR,Brandon Valenzuela,S,Detmers,L,1,-42,-31,-27,-18,-18,56,1.4,2.9,10.4,5.6,51.9,-39,-27,-17,-23,-17,49,1.5,3.3,9.7,5.6,49.6,-10,0,0,0,0,0,0,0,.000                         
Blue Jays @ Angels,LAA,Logan O'Hoppe,R,Cease,R,1,-15,11,-35,-9,26,38,2.9,3.4,13.1,11.3,37.7,-13,9,-23,-16,28,32,2.8,4,12.1,11.4,36,-4,5,5,1,0,0,0,2,.200                         
Blue Jays @ Angels,LAA,Vaughn Grissom,R,Cease,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,.000                         
Blue Jays @ Angels,LAA,Zach Neto,R,Cease,R,1,-7,6,-30,-10,38,30,4,3.3,12.2,15.1,36.6,-5,11,-22,-16,40,24,4.2,3.7,11.4,15.3,35,4,5,5,2,2,0,0,3,.400                         
Blue Jays @ Angels,LAA,Nolan Schanuel,L,Cease,R,1,-1,25,-26,1,40,38,2.6,4,16.1,17,19.7,1,31,-15,-6,42,32,2.7,4.6,15,17.3,18.8,10,6,6,3,1,0,0,1,.500                         
Orioles @ Royals,KC ,Starling Marte,R,Bradish,R,0,-12,5,-40,-20,25,28,2.7,3.4,13.5,8.2,29,-9,13,-37,-15,23,43,2.9,3.6,14.3,8.1,32.4,-5,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Salvador Perez,R,Bradish,R,1,-13,-12,-33,-18,26,37,3.5,4.4,12.4,8.4,27.8,-13,-11,-31,-15,24,53,3.6,4.5,13,8.3,30.9,-2,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Elias Diaz,R,Bradish,R,0,-11,-1,-40,-19,26,23,2.6,3.1,11.5,8.7,33.7,-10,3,-37,-14,24,38,2.7,3.3,12.1,8.5,37.5,-8,3,3,1,0,0,0,1,.333                         
Orioles @ Royals,BAL,Taylor Ward,R,Lugo,R,1,19,2,0,-10,17,-15,2.9,4.2,12.3,19,21,22,15,3,-4,15,-6,3.2,4.3,13,18.7,23.5,9,7,7,0,0,0,0,2,.000                         
Orioles @ Royals,BAL,Pete Alonso,R,Lugo,R,1,24,29,8,-6,15,-19,4.5,5.6,14,11.3,21,23,22,10,1,13,-9,4.3,5.7,14.9,11.1,23.4,9,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Weston Wilson,R,Lugo,R,0,14,18,-9,-9,-1,-18,3.1,3.9,11.1,11.3,25.5,13,13,-5,-4,-3,-9,3,4.1,11.8,11.1,28.4,-3,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Lane Thomas,R,Bradish,R,0,-1,1,-26,-16,13,17,2.2,3.7,10.4,12.4,34.1,-2,2,-24,-11,11,31,2.2,3.8,11,12.2,38,-7,3,3,0,0,0,0,1,.000                         
Orioles @ Royals,KC ,Jonathan India,R,Bradish,R,0,-9,-5,-37,-21,7,31,2.5,2.9,10.1,13.8,29,-8,2,-34,-18,5,46,2.7,3,10.6,13.6,32.3,-5,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Kyle Isbel,L,Bradish,R,1,-5,-12,-30,-12,23,34,1.5,3.7,15,10.4,24.4,-2,0,-26,-8,21,49,1.7,3.9,15.6,10.2,27.2,-3,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Leody Taveras,S,Lugo,R,1,18,17,8,-8,7,-19,2.9,5.8,12.9,10.6,20.7,22,24,15,-2,6,-9,3.1,6.2,13.7,10.4,23.1,6,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Sam Huff,R,Lugo,R,0,30,21,4,-10,19,-21,3.3,4.3,10.3,9.2,31.7,31,26,7,-5,17,-12,3.4,4.4,10.9,9,35.3,-5,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Jeremiah Jackson,R,Lugo,R,1,19,15,3,-10,17,-16,2.7,4.7,11.9,8.1,25.5,21,18,10,-5,15,-6,2.8,5,12.5,8,28.5,-4,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Johnathan Rodriguez,R,Lugo,R,0,15,17,-10,-9,8,-16,2.8,3.8,12.7,10.2,25.2,16,18,-5,-4,6,-6,2.9,4,13.4,10.1,28.1,-2,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Maikel Garcia,R,Bradish,R,1,0,-14,-35,-11,27,34,1.6,3.5,16.1,14.5,17.7,4,5,-31,-5,25,49,2,3.7,17.1,14.3,19.8,7,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Blaze Alexander,R,Lugo,R,1,10,-14,-7,-13,21,-20,2.4,4.4,11.2,9.5,26.6,17,6,-4,-7,19,-11,3,4.6,11.9,9.4,29.6,-4,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Bobby Witt Jr.,R,Bradish,R,1,-3,-4,-33,-21,36,20,3.3,3.8,12,12.5,23.4,-3,-6,-32,-15,34,34,3.2,3.9,12.9,12.3,26.1,2,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Colton Cowser,L,Lugo,R,1,21,20,1,-8,7,-14,4,4.5,10.4,11.1,29.7,22,21,7,-3,5,-5,4.1,4.7,10.9,11,33.1,0,6,5,1,1,0,1,3,.200                         
Orioles @ Royals,BAL,Gunnar Henderson,L,Lugo,R,1,15,27,8,-10,2,-14,3.3,5.5,13.8,12,17.8,16,24,13,-4,0,-4,3.3,5.7,14.7,11.8,19.9,8,9,8,1,0,1,1,2,.125                         
Orioles @ Royals,KC ,Vinnie Pasquantino,L,Bradish,R,1,-7,-19,-34,-20,38,26,3.1,3.7,12.2,12.7,21.3,-4,-14,-31,-15,36,41,3.3,3.9,12.9,12.5,23.7,3,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Isaac Collins,S,Bradish,R,1,-4,2,-29,-14,2,26,2.1,3.3,10.8,13.6,30.5,-3,8,-25,-8,0,40,2.2,3.5,11.5,13.4,34,-5,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Michael Massey,L,Bradish,R,1,-15,-14,-30,-25,19,32,2.3,3.8,12.2,8.3,24.3,-12,-3,-26,-21,17,47,2.5,4,12.9,8.1,27.1,-5,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Dylan Beavers,L,Lugo,R,1,24,41,3,-10,7,-19,3.9,4.6,10.8,11.5,23.6,24,36,8,-6,5,-9,3.8,4.9,11.3,11.3,26.3,3,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Coby Mayo,R,Lugo,R,0,23,37,-4,-15,16,-12,2.9,4.5,9.1,12.6,28.3,23,32,2,-10,15,-2,2.9,4.8,9.6,12.4,31.5,-3,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,BAL,Samuel Basallo,L,Lugo,R,1,27,32,1,-1,16,-18,3.4,4.3,13.3,6.5,24.9,28,30,6,4,14,-8,3.4,4.5,13.9,6.4,27.7,-3,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Jac Caglianone,L,Bradish,R,1,-18,-19,-43,-26,16,30,1.8,2.7,10.1,10.9,36.4,-18,-15,-39,-21,14,45,1.9,2.9,10.7,10.7,40.6,-9,0,0,0,0,0,0,0,.000                         
Orioles @ Royals,KC ,Carter Jensen,L,Bradish,R,1,-27,-27,-36,-23,-14,32,2.3,3.1,9.8,8.9,38.4,-28,-29,-33,-19,-15,47,2.2,3.2,10.3,8.7,42.8,-9,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,LAD,Miguel Rojas,R,Quintana,L,1,36,7,10,22,24,-51,2.1,6.1,21.6,9.4,7.2,28,-4,0,20,22,-43,1.9,5.5,21.2,9.3,8.3,10,7,6,1,0,1,1,0,.167                         
Dodgers @ Rockies,LAD,Max Muncy,L,Quintana,L,1,51,24,20,17,45,-51,4.7,4.9,14.9,21.9,12.1,39,9,4,11,42,-44,4.1,4.3,14.2,21.5,13.9,10,3,1,0,0,0,2,0,.000                         
Dodgers @ Rockies,LAD,Teoscar Hernandez,R,Quintana,L,1,42,16,8,22,33,-48,3.5,5.4,18.2,9.9,13.4,33,3,-4,22,31,-40,3.1,4.8,18.3,9.7,15.4,9,9,9,0,0,0,0,2,.000                         
Dodgers @ Rockies,COL,Willi Castro,S,Wrobleski,L,1,-17,-25,-16,8,-33,19,1.7,4.2,15.9,5.7,32.7,-29,-33,-24,5,-35,37,1.5,3.8,15.3,5.6,37.6,-9,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,LAD,Shohei Ohtani,L,Quintana,L,1,41,7,16,6,48,-47,4.6,5.6,12.9,19,15.3,31,-2,6,3,46,-40,4.3,5.1,12.6,18.7,17.6,10,11,7,3,3,0,4,2,.429                         
Dodgers @ Rockies,LAD,Kyle Tucker,L,Quintana,L,1,35,1,6,9,53,-46,3.1,5.5,17.4,17.1,10.2,25,-11,-8,5,51,-38,2.8,4.8,16.7,16.8,11.8,10,5,5,2,1,0,0,1,.400                         
Dodgers @ Rockies,COL,Brett Sullivan,L,Wrobleski,L,0,-2,-8,-15,13,-21,9,2.1,3.8,16.5,5.4,26.6,-14,-18,-25,9,-23,26,1.9,3.3,15.9,5.3,30.6,-8,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,COL,Jake McCarthy,L,Wrobleski,L,0,15,-3,-14,32,-26,2,1.9,4.9,22.7,4.4,20.6,4,-13,-23,27,-28,17,1.7,4.4,21.8,4.3,23.8,0,3,3,0,0,0,0,1,.000                         
Dodgers @ Rockies,COL,Mickey Moniak,L,Wrobleski,L,0,-6,-19,-12,15,-23,7,2.7,4.5,15.9,4.9,29.5,-18,-26,-21,11,-25,23,2.5,4.1,15.2,4.8,33.9,-7,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,COL,Edouard Julien,L,Wrobleski,L,0,-3,-15,-13,20,-18,3,2,3.7,15.8,10.4,33.2,-15,-30,-19,16,-19,19,1.6,3.5,15.3,10.2,38.3,-7,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,LAD,Will Smith,R,Quintana,L,1,38,12,11,10,40,-42,3.7,5.5,14.5,19.5,14.1,26,-5,-6,7,37,-34,3.1,4.7,14.2,19.2,16.2,10,10,10,3,1,0,0,0,.300                         
Dodgers @ Rockies,LAD,Santiago Espinal,R,Quintana,L,1,33,2,14,9,39,-50,1.3,6.4,20.4,10.1,6.8,25,-7,1,6,36,-42,1.2,5.6,19.9,9.9,7.8,9,8,7,2,0,0,1,0,.286                         
Dodgers @ Rockies,LAD,Alex Call,R,Quintana,L,0,33,22,5,13,21,-39,2.3,4.6,16.9,15.9,12.1,21,-5,-10,10,19,-30,1.8,3.9,16.4,15.6,13.9,8,2,1,0,0,0,1,0,.000                         
Dodgers @ Rockies,LAD,Ryan Ward,L,Quintana,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,COL,Tyler Freeman,R,Wrobleski,L,1,11,-1,3,11,-26,-10,1.2,5.4,21.1,5.9,12.4,4,-16,-9,11,-28,4,1,4.8,21,5.8,14.3,3,2,2,0,0,0,0,0,.000                         
Dodgers @ Rockies,COL,Ezequiel Tovar,R,Wrobleski,L,1,-2,-14,-5,12,-19,9,2,5.3,16.7,5,30.8,-14,-24,-16,10,-21,25,1.8,4.7,16.4,4.9,35.5,-7,3,3,2,0,1,0,0,.667                         
Dodgers @ Rockies,COL,TJ Rumfield,L,Wrobleski,L,1,1,-8,-8,16,-28,0,2.1,4.1,16.8,5.3,28,-11,-17,-17,12,-29,16,1.9,3.7,16.2,5.3,32.3,-7,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,LAD,Andy Pages,R,Quintana,L,1,35,11,11,12,31,-54,3.4,6.5,16.3,10.8,10.6,25,-2,-1,10,29,-47,3,5.8,16,10.6,12.3,9,11,11,4,0,2,0,1,.364                         
Dodgers @ Rockies,COL,Brenton Doyle,R,Wrobleski,L,1,4,-12,-7,23,-27,4,2.2,4.8,18.9,5.5,29.9,-8,-23,-19,22,-28,20,1.9,4.2,18.7,5.4,34.4,-5,3,3,0,0,0,0,2,.000                         
Dodgers @ Rockies,LAD,Dalton Rushing,L,Quintana,L,0,47,3,22,27,18,-48,3,5.3,15.1,8.8,16.7,33,-9,9,23,16,-40,2.6,4.7,14.7,8.6,19.2,2,2,2,0,0,0,0,0,.000                         
Dodgers @ Rockies,COL,Jordan Beck,R,Wrobleski,L,1,-6,-9,-7,11,-29,5,2,4.7,15,5.5,32.4,-18,-23,-14,10,-30,21,1.7,4.3,14.8,5.4,37.2,-8,4,4,2,0,0,0,0,.500                         
